Time	Untitled
12/2/2014 16:41:08.158	0
12/2/2014 16:41:09.158	46
12/2/2014 16:41:10.158	63
12/2/2014 16:41:11.158	59
12/2/2014 16:41:12.158	65
12/2/2014 16:41:13.158	55
12/2/2014 16:41:14.158	57
12/2/2014 16:41:15.158	51
12/2/2014 16:41:16.158	47
12/2/2014 16:41:17.158	65
12/2/2014 16:41:18.158	55
12/2/2014 16:41:19.158	63
12/2/2014 16:41:20.158	61
12/2/2014 16:41:21.158	65
12/2/2014 16:41:22.158	54
12/2/2014 16:41:23.158	62
12/2/2014 16:41:24.158	58
12/2/2014 16:41:25.158	55
12/2/2014 16:41:26.158	44
12/2/2014 16:41:27.158	72
12/2/2014 16:41:28.158	49
12/2/2014 16:41:29.158	50
12/2/2014 16:41:30.158	50
12/2/2014 16:41:31.158	51
12/2/2014 16:41:32.158	59
12/2/2014 16:41:33.158	59
12/2/2014 16:41:34.158	52
12/2/2014 16:41:35.158	37
12/2/2014 16:41:36.158	52
12/2/2014 16:41:37.158	51
12/2/2014 16:41:38.158	44
12/2/2014 16:41:39.158	48
12/2/2014 16:41:40.158	58
12/2/2014 16:41:41.158	59
12/2/2014 16:41:42.158	70
12/2/2014 16:41:43.158	55
12/2/2014 16:41:44.158	58
12/2/2014 16:41:45.158	52
12/2/2014 16:41:46.158	52
12/2/2014 16:41:47.158	52
12/2/2014 16:41:48.158	43
12/2/2014 16:41:49.158	51
12/2/2014 16:41:50.158	49
12/2/2014 16:41:51.158	50
12/2/2014 16:41:52.158	44
12/2/2014 16:41:53.158	44
12/2/2014 16:41:54.158	50
12/2/2014 16:41:55.158	46
12/2/2014 16:41:56.158	51
12/2/2014 16:41:57.158	41
12/2/2014 16:41:58.158	51
12/2/2014 16:41:59.158	55
12/2/2014 16:42:00.158	38
12/2/2014 16:42:01.158	52
12/2/2014 16:42:02.158	34
12/2/2014 16:42:03.158	47
12/2/2014 16:42:04.158	39
12/2/2014 16:42:05.158	32
12/2/2014 16:42:06.158	38
12/2/2014 16:42:07.158	38
12/2/2014 16:42:08.158	46
12/2/2014 16:42:09.158	49
12/2/2014 16:42:10.158	56
12/2/2014 16:42:11.158	46
12/2/2014 16:42:12.158	50
12/2/2014 16:42:13.158	28
12/2/2014 16:42:14.158	42
12/2/2014 16:42:15.158	43
12/2/2014 16:42:16.158	38
12/2/2014 16:42:17.158	32
12/2/2014 16:42:18.158	58
12/2/2014 16:42:19.158	53
12/2/2014 16:42:20.158	47
12/2/2014 16:42:21.158	44
12/2/2014 16:42:22.158	38
12/2/2014 16:42:23.158	40
12/2/2014 16:42:24.158	32
12/2/2014 16:42:25.158	48
12/2/2014 16:42:26.158	38
12/2/2014 16:42:27.158	55
12/2/2014 16:42:28.158	52
12/2/2014 16:42:29.158	42
12/2/2014 16:42:30.158	37
12/2/2014 16:42:31.158	36
12/2/2014 16:42:32.158	33
12/2/2014 16:42:33.158	44
12/2/2014 16:42:34.158	39
12/2/2014 16:42:35.158	44
12/2/2014 16:42:36.158	25
12/2/2014 16:42:37.158	27
12/2/2014 16:42:38.158	40
12/2/2014 16:42:39.158	42
12/2/2014 16:42:40.158	39
12/2/2014 16:42:41.158	32
12/2/2014 16:42:42.158	36
12/2/2014 16:42:43.158	44
12/2/2014 16:42:44.158	37
12/2/2014 16:42:45.158	45
12/2/2014 16:42:46.158	41
12/2/2014 16:42:47.158	31
12/2/2014 16:42:48.158	25
12/2/2014 16:42:49.158	47
12/2/2014 16:42:50.158	33
12/2/2014 16:42:51.158	43
12/2/2014 16:42:52.158	32
12/2/2014 16:42:53.158	38
12/2/2014 16:42:54.158	28
12/2/2014 16:42:55.158	43
12/2/2014 16:42:56.158	34
12/2/2014 16:42:57.158	25
12/2/2014 16:42:58.158	23
12/2/2014 16:42:59.158	32
12/2/2014 16:43:00.158	41
12/2/2014 16:43:01.158	27
12/2/2014 16:43:02.158	35
12/2/2014 16:43:03.158	35
12/2/2014 16:43:04.158	36
12/2/2014 16:43:05.158	30
12/2/2014 16:43:06.158	37
12/2/2014 16:43:07.158	25
12/2/2014 16:43:08.158	24
12/2/2014 16:43:09.158	37
12/2/2014 16:43:10.158	34
12/2/2014 16:43:11.158	35
12/2/2014 16:43:12.158	22
12/2/2014 16:43:13.158	30
12/2/2014 16:43:14.158	24
12/2/2014 16:43:15.158	23
12/2/2014 16:43:16.158	42
12/2/2014 16:43:17.158	30
12/2/2014 16:43:18.158	30
12/2/2014 16:43:19.158	25
12/2/2014 16:43:20.158	35
12/2/2014 16:43:21.158	24
12/2/2014 16:43:22.158	24
12/2/2014 16:43:23.158	35
12/2/2014 16:43:24.158	22
12/2/2014 16:43:25.158	29
12/2/2014 16:43:26.158	31
12/2/2014 16:43:27.158	22
12/2/2014 16:43:28.158	27
12/2/2014 16:43:29.158	30
12/2/2014 16:43:30.158	40
12/2/2014 16:43:31.158	27
12/2/2014 16:43:32.158	27
12/2/2014 16:43:33.158	27
12/2/2014 16:43:34.158	25
12/2/2014 16:43:35.158	38
12/2/2014 16:43:36.158	28
12/2/2014 16:43:37.158	36
12/2/2014 16:43:38.158	35
12/2/2014 16:43:39.158	29
12/2/2014 16:43:40.158	24
12/2/2014 16:43:41.158	40
12/2/2014 16:43:42.158	30
12/2/2014 16:43:43.158	23
12/2/2014 16:43:44.158	43
12/2/2014 16:43:45.158	27
12/2/2014 16:43:46.158	27
12/2/2014 16:43:47.158	24
12/2/2014 16:43:48.158	29
12/2/2014 16:43:49.158	28
12/2/2014 16:43:50.158	25
12/2/2014 16:43:51.158	32
12/2/2014 16:43:52.158	19
12/2/2014 16:43:53.158	27
12/2/2014 16:43:54.158	24
12/2/2014 16:43:55.158	23
12/2/2014 16:43:56.158	20
12/2/2014 16:43:57.158	39
12/2/2014 16:43:58.158	27
12/2/2014 16:43:59.158	17
12/2/2014 16:44:00.158	27
12/2/2014 16:44:01.158	21
12/2/2014 16:44:02.158	27
12/2/2014 16:44:03.158	36
12/2/2014 16:44:04.158	27
12/2/2014 16:44:05.158	22
12/2/2014 16:44:06.158	23
12/2/2014 16:44:07.158	14
12/2/2014 16:44:08.158	35
